역명,외부↔대합실,대합실↔승강장,환승통로,"이동식
발판",역무실 연락처
대방역,E(4번),E,,×,02-812-0720
신길역,"R(지상역1,2번)",L,5호선-E-L,×,02-834-7787
영등포역,E(롯데백화점),E,,×,02-2639-3310
신도림역,L(2번),L,2호선-L,×,02-830-7788
구로역,L(2번)E(애경백화점),L,,×,02-868-0036
구일역,R(지상역 1번),L,,×,02-865-6190
개봉역,"E(1,2번/3,4번사이",E,,×,02-2685-7788
오류동역,"E(1,2,3,4번)",E,,×,02-2616-5771
온수역,"E(1,2,3,4번)",E,7호선-L,×,02-2681-7788
역곡역,"E(1,2번)",E,,×,032-343-3119
소사역,"L(1,2,3번)",L,,×,032-344-7788
부천역,E(지상역 1번),L,,×,032-665-7755
중동역,L(지상역 1번),L,,×,032-666-7788
송내역,"E (1,2번)",E,,×,032-662-7788
부개역,"L(1,2번)",E,,×,032-517-7788
부평역,E(롯데마트 2번),"E, L",인천1호선-E,×,032-528-1439
백운역,"E(1,2,3번)",E,,×,032-524-7788
동암역,E(1번),E,,×,032-421-7788
간석역,"E(1,2번)",E,,×,032-427-7788
주안역,"E(1,2,3,4번)?",E,,×,032-865-7787
도화역,"E(1,2,3,4번)",E,,×,032-863-1464
제물포역,"E(1,2번)",E,,×,032-883-7788
도원역,E(2번),E,,×,032-773-7788
동인천역,E(1번),E,,×,032-762-2737
인천역,R(1번),R,,×,032-772-0784
가산 디지털단지역,"E(1,7번)",L,7호선-L,×,02-853-3115
독산역,"E(1번), L(2번)",E,,×,02-862-7878
"금천구청
역",E(1번),E,광명역-E,×,02-803-0019
광명역,"E(1,2번/3,4번/6,7번사이)",E,,×,02-899-9270
석수역,"E(1,2번)",L,,×,031-472-7788
관악역,"E(2번), L(1번)",상향-L하향-E,,×,031-471-7788
안양역,"E(1,2번)",E,,×,031-448-7788
명학역,"L(1,2번)",E,,×,031-441-7788
금정역,"E(6,7번사이)",E,4호선-E,×,031-393-7788
군포역,"L(1,2번)",E,,×,031-452-7788
당정역,"E(1,2번사이,3번)",E,,×,031-427-7788
의왕역,E(2번),E,,×,031-461-3263
성균관대역,"R(1,2번)",L,,×,031-293-7788
화서역,"L(1,2번)",L,,×,031-242-7788
수원역,E(애경백화점),E,,×,031-253-2724
세류역,R(지상역 1번),E-L,,×,031-238-3089
병점역,"E(1,2번)",E,,×,031-234-7788
서동탄역,R(지상역),E,,×,031-613-9581
세마역,R(지상역 1번),E,,×,031-377-7166
오산대역,"E(1,2번)",E,,×,031-375-9354
오산역,E(1번),E,,×,031-374-7788
진위역,"E(1,2번)",E,,×,031-667-7652
송탄역,"E(1,2번사이, 5번)",E,,×,031-666-7788
서정리역,"E(1번, 2,3번사이)",E,,×,031-662-7788
지제역,"E(1,2번)",E,,×,031-691-7651
평택역,"E(1,2번)",E,,×,031-652-7811
성환역,"E(1,6번, 열차 3,4번)",E,,×,041-581-7788
직산역,"E(1,2,3,4번)",E,,×,041-583-7788
두정역,E( 1번),E,,×,041-562-7791
천안역,"E(1,2번)",E,,×,041-562-7034
봉명역,L(4번),E,,×,041-579-9786
쌍용역,R(지상역 1번),E,,×,041-572-6788
아산역,평지(지상역),E,,×,041-532-6610
배방역,"R(지상역 1,2번)",L,,×,041-548-7788
온양온천역,E(1번),E,,×,041-545-7788
신창역,평지(지상역),E,,×,041-543-7788
